Principles,Controllability,Foundational,Personal Data,Agency,User,Portability,Sustainability,Security,Usability,Flexibility,Autonomy,Technology,Operability,Zero-cost,Acceptance
Interoperability,,,,,,2,,,1,2,1,1,,,
Control,3,2,,1,1,,,,,,,,,,
Business models,,,,,,,2,,,,,1,1,1,1
Minimization,1,,1,,,,,3,,,,,,,
Transparency,,,,,,2,2,1,1,,,,,,
Persistence,5,1,1,,,,,1,,,,,,,
Portability,,,1,,,2,,,,2,1,1,,,
Existence,2,3,1,1,,,,,,,,,,,
Consent,3,1,1,,,,,,,,,,,,
Access,1,3,,1,,2,,,,,,,,,
Standards,,,,,,,2,,,,,,,,
Protection,,,1,,,,,4,,,1,,,,